Month;Total Fossil Fuels Production;Nuclear Electric Power Production;Total Renewable Energy Production;Total Primary Energy Production;Primary Energy Imports;Primary Energy Exports;Primary Energy Net Imports;Primary Energy Stock Change and Other;Total Fossil Fuels Consumption;Nuclear Electric Power Consumption;Total Renewable Energy Consumption;Total Primary Energy Consumption
01.01.1973;4,932632;0,068103;0,403981;5,404715;1,17308;0,125781;1,047299;0,771858;6,747651;0,068103;0,403981;7,223873
01.02.1973;4,729582;0,064634;0,3609;5,155115;1,168005;0,120883;1,047122;0,390129;6,163095;0,064634;0,3609;6,592366
01.03.1973;4,946902;0,072494;0,400161;5,419556;1,309473;0,13995;1,169523;-0,06764;6,044647;0,072494;0,400161;6,521439
01.04.1973;4,716271;0,06407;0,38047;5,160812;1,085169;0,194185;0,890984;-0,110067;5,493184;0,06407;0,38047;5,941729
01.05.1973;4,956995;0,062111;0,392141;5,411246;1,162804;0,196775;0,966029;-0,305335;5,613551;0,062111;0,392141;6,07194
01.06.1973;4,716096;0,073968;0,377232;5,167296;1,129614;0,178871;0,950743;-0,315356;5,347479;0,073968;0,377232;5,802683
01.07.1973;4,748276;0,07589;0,367325;5,191492;1,216246;0,164134;1,052112;-0,291695;5,504556;0,07589;0,367325;5,951909
01.08.1973;5,041997;0,084883;0,353757;5,480638;1,297848;0,191049;1,106799;-0,39578;5,748879;0,084883;0,353757;6,191657
01.09.1973;4,731504;0,085724;0,307006;5,124234;1,226145;0,146492;1,079652;-0,430371;5,376782;0,085724;0,307006;5,773515
01.10.1973;4,998321;0,081971;0,323453;5,403745;1,315774;0,207655;1,108119;-0,337003;5,7653;0,081971;0,323453;6,174862
01.11.1973;4,810504;0,088773;0,337817;5,237093;1,321809;0,183453;1,138356;0,143584;6,08844;0,088773;0,337817;6,519033
01.12.1973;4,880197;0,087557;0,406694;5,374447;1,207179;0,183859;1,023319;0,489137;6,388515;0,087557;0,406694;6,886904
01.01.1974;4,961042;0,084855;0,437467;5,483364;1,083235;0,121461;0,961774;0,458905;6,378043;0,084855;0,437467;6,904043
01.02.1974;4,569843;0,090577;0,399942;5,060362;0,955624;0,164831;0,790793;0,463145;5,820458;0,090577;0,399942;6,3143
01.03.1974;4,881263;0,097966;0,423474;5,402702;1,064548;0,132223;0,932325;0,035739;5,845649;0,097966;0,423474;6,370767
01.04.1974;4,775157;0,079566;0,422323;5,277046;1,156477;0,186646;0,969831;-0,38581;5,355618;0,079566;0,422323;5,861066
01.05.1974;4,966595;0,073242;0,427657;5,467495;1,280713;0,217693;1,06302;-0,66603;5,359907;0,073242;0,427657;5,864485
01.06.1974;4,557055;0,079015;0,409281;5,045352;1,211565;0,225425;0,986139;-0,389243;5,150392;0,079015;0,409281;5,642248
01.07.1974;4,716243;0,113953;0,409719;5,239915;1,28033;0,200632;1,079698;-0,334259;5,458003;0,113953;0,409719;5,985353
01.08.1974;4,736135;0,137654;0,386101;5,259889;1,260397;0,19058;1,069817;-0,314204;5,488069;0,137654;0,386101;6,015502
01.09.1974;4,614156;0,12288;0,35391;5,090946;1,154422;0,169578;0,984844;-0,364592;5,230848;0,12288;0,35391;5,711198
01.10.1974;4,900053;0,121248;0,343703;5,365003;1,232624;0,246304;0,98632;-0,169305;5,713389;0,121248;0,343703;6,182018
01.11.1974;4,181238;0,122819;0,351633;4,65569;1,305091;0,225305;1,079786;0,50007;5,757535;0,122819;0,351633;6,235546
01.12.1974;4,435595;0,148309;0,376642;4,960546;1,31925;0,122687;1,196563;0,68555;6,314029;0,148309;0,376642;6,842659
01.01.1975;4,731639;0,153503;0,392756;5,277898;1,347568;0,162773;1,184795;0,593424;6,508066;0,153503;0,392756;7,056118
01.02.1975;4,381549;0,140232;0,368278;4,890059;1,108542;0,171418;0,937124;0,341812;5,658866;0,140232;0,368278;6,168996
01.03.1975;4,643579;0,163893;0,42349;5,230962;1,140333;0,199517;0,940816;0,211704;5,794307;0,163893;0,42349;6,383482
01.04.1975;4,533965;0,146773;0,405368;5,086106;0,97805;0,208831;0,76922;-0,057411;5,244039;0,146773;0,405368;5,797914
01.05.1975;4,644549;0,15158;0,421283;5,217412;1,040395;0,234229;0,806166;-0,531911;4,917011;0,15158;0,421283;5,491667
01.06.1975;4,553746;0,140348;0,411622;5,105715;1,033375;0,215488;0,817887;-0,487975;4,881923;0,140348;0,411622;5,435627
01.07.1975;4,396385;0,169294;0,398459;4,964138;1,168491;0,172327;0,996164;-0,291195;5,099561;0,169294;0,398459;5,669107
01.08.1975;4,518846;0,174883;0,36823;5,061959;1,226702;0,203021;1,023681;-0,341322;5,199413;0,174883;0,36823;5,744318
01.09.1975;4,486607;0,158543;0,341957;4,987107;1,275391;0,168853;1,106538;-0,595252;4,996158;0,158543;0,341957;5,498393
01.10.1975;4,700282;0,161078;0,368786;5,230146;1,235454;0,16808;1,067373;-0,388816;5,377048;0,161078;0,368786;5,908704
01.11.1975;4,461868;0,155988;0,383196;5,001053;1,215872;0,238836;0,977036;-0,127678;5,309492;0,155988;0,383196;5,850411
